24895, "KXTUDT2 (Mundo Fox)  (24895)"
24903, "FXX (East)  (24903)"
24904, "FXX HD (West)  (24904)"
24905, "FXX (West) (24905)"
24907, "Fox Sports 1  (24907)"
24912, "Fox Sports 1 HDTV  (24912)"
24976, "KQCK  (24976)"
25047, "Fusion  (25047)"
25052, "MC Singers \& Swing  (25052)"
25053, "MC Classical Masterpieces  (25053)"
25054, "MC Easy Listening  (25054)"
25055, "MC Light Classical  (25055)"
25161, "Smithsonian Channel HDTV (West)  (25161)"
25265, "Travel Channel HDTV (West)  (25265)"
25506, "KATU Comet TV  (25506)"
25513, "Fight Network HD  (25513)"
25517, "SEC Network HDTV  (25517)"
25518, "SEC Network  (25518)"
25521, "SECSD Overflow  (25521)"
25595, "Game+HD  (25595)"
25715, "KOSA CW HDTV  (25715)"
25754, "KUPT Movies!  (25754)"
25767, "KUCW Buzzr  (25767)"
25888, "KUNP Charge TV (25888)"
25934, "KLBB Movies!  (25934)"
25978, "KCNC Start TV  (25978)"
25995, "KUPTDT Heroes \& Icons HD  (25995)"
26085, "FYI  (26085)"
26086, "FYI HDTV  (26086)"
26096, "VICELAND  (26096)"
26111, "NBC Universo HDTV  (26111)"
26123, "KPTV Cozi TV  (26123)"
26145, "KCSG MyFamilyTV  (26145)"
26149, "KTLE Telemundo 20 HDTV  (26149)"
26322, "KSTU True Crime (26322)"
26332, "KVMY Cozi (26332)"
26404, "KPDX Escape  (26404)"
26405, "KPTV Laff  (26405)"
26478, "WGN America (West)  (26478)"
26479, "WGN America HDTV (West)  (26479)"
26540, "KWGN Comet TV  (26540)"
26630, "KOIN Decades  (26630)"
26771, "KMGH Escape  (26771)"
26832, "ODOT  (26832)"
26833, "Central Oregon Channel 4  (26833)"
26869, "KUPB-DT2 (26869)"
27013, "KXTUDT2 (Mundo Fox)  (27013)"
27017, "Altavision  (27017)"
27026, "KRMTDT Daystar Television HD  (27026)"
27166, "OPB Kids  (27166)"
27194, "KBIM2 FOX New Mexico  (27194)"
27231, "KBIM2 FOX New Mexico HDTV (27231)"
27286, "OJZZ TBD TV  (27286)"
27301, "KPDX Bounce (27301)"
27302, "KPDX Grit TV (27302)"
27421, "KCSG H&I  (27421)"
27500, "KCSG2 Decades  (27500)"
27502, "Root Sports Northwest (Oregon Jazz Expanded)  (27502)"
27510, "Olympic SD  (27510)"
27511, "Olympic HD  (27511)"
27595, "KATU Stadium (27595)"
27604, "Universal Kids (West)  (27604)"
30020, "KMYU MyTV (St George UT)  (30020)"
35143, "AXS TV  HDTV (35143)"
35146, "HDNet Movies  (35146)"
4100, "AMC-E  (4100)"
4101, "A&E Network (East)  (4101)"
4103, "BET (East)  (4103)"
4104, "Bravo (East)  (4104)"
4105, "CSPAN  (4105)"
4106, "CSPAN2  (4106)"
4107, "Cartoon Network (East)  (4107)"
4108, "CMT (East)  (4108)"
4109, "CNBC  (4109)"
4110, "CNN  (4110)"
4111, "HLN  (4111)"
4112, "Comedy Central (East)  (4112)"
4115, "truTV (East)  (4115)"
4117, "E\! (East)  (4117)"
4118, "Educational Programming  (4118)"
